"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","gene"
"55",-0.0105469541293742,-0.0214955230360954,0.00927606414975001,-0.022288638230348,-0.00173039594228529,0.0102867411622172,-0.0188169146437307,-0.0301060646111895,-0.0104406796694361,0.00318237471280333,"Mecom"
"56",-0.0105161201137784,-0.000535232454362246,0.0315238056218804,0.00934590218345665,-0.0383200731602394,-0.016430454323349,0.0261744108251157,0.00714242210843515,-0.00652232706045117,0.00719258227798744,"Itga8"
"57",-0.0104777115084973,-0.0198973903388695,-0.0141115739516519,-0.000330799302526631,0.0145425039773906,-0.0114938532881413,0.00779134124949942,-0.0155642869055558,-0.017788597089658,-0.0367581765082432,"Itm2a"
"58",-0.0104605738439057,-0.0185592468295594,-0.00102104446628794,-0.0132309258116218,0.00518376084610973,-0.0108128305964612,0.00992800601365733,-0.00302798491975714,0.00066165920691892,0.000735956251443941,"Malat1"
"59",-0.0103753985715243,-0.014146939797249,0.00878291016209332,-0.00169392132981035,0.00241042703389158,0.00867495651345626,0.00676671054948476,0.00513005256134786,0.00672958514026156,0.0145157077536196,"Inpp4a"
"60",-0.0103234704558878,-0.0360159967856844,-0.0213230388365109,-0.0161159294619173,-0.00711521536525397,-0.00956925533915813,0.0181089671811242,-0.0148294740616827,0.00136216291307175,0.0152663273727042,"Fbn2"
"61",-0.0102885503464121,-0.056012386634714,-0.0222132366037945,-0.00157725305615065,-0.0425357914845342,-0.0343666466270617,-0.0123982052530737,0.0113336108441052,0.0110638146317752,-0.00620151090673202,"Igsf3"
"62",-0.0102537509605569,-0.0355572148713158,0.0198724061834662,-0.014858658911458,0.0082185010075471,0.00414921114386293,-0.00897400094912413,-0.00941714123362506,0.00591350105922311,0.00631044365580416,"Pgpep1"
"63",-0.0102506991583161,-0.0157928444074291,0.0109258356398213,-0.00262392646515375,0.0180240136363767,0.0032697117053151,0.0167645880849966,0.00608284445609895,-0.00491910064873219,-0.00957703110613457,"Trim12c"
"64",-0.0101826509835917,-0.0234931664763819,-0.0302775610492209,-0.00721659475201625,0.0030736091722406,0.00337919081935847,0.0137163027189844,-0.00316150031413736,-0.00498531126090252,-0.0142535923779074,"Sncaip"
"65",-0.0101084894807813,-0.0200449523417636,0.007316192565954,-0.00304055300307778,0.00197806767707373,-0.00129460646439893,-0.00432803935690036,-0.00627593627227512,-0.0160976535698145,0.0149564616894195,"Ecm2"
"66",-0.00999577025787596,-0.0472166282037463,-0.0270096939199627,-0.00578000283416905,-0.0102378524850469,0.00283909413783004,-0.00259679564756312,-0.0101351363430649,0.0341327474476285,-0.0182173095309992,"Lgals9"
"67",-0.00998154874877893,-0.0135557174912234,0.011831067328196,0.00578714115392266,-0.00928877353131506,0.0160214059033356,0.0162516978575905,0.00678770972712159,-0.025367442417073,0.00920317569892637,"Gm8615"
"68",-0.00973568300145394,-0.00956007067391845,0.0238382969931611,0.00427056104432057,0.0328619888161991,0.026657380019812,0.0138301917089341,0.0115204303119708,-0.0112610452675607,0.00529610590591324,"Klhl24"
"69",-0.00972190959269114,-0.0260793948580722,-0.0283448152528328,-0.0200815220267887,-0.020864868284383,0.0169510995787798,0.00174771055783128,-0.0112075967891898,0.00254438163709353,-0.0348489659647288,"Agr2"
