"","sort.plate","cell.name","num.genes","num.mouse.reads","num.rRNA.reads","__alignment_not_unique","__ambiguous","__no_feature","__not_aligned","__too_low_aQual","ercc.sum","sort.plate_color","frac.rRNA","htseq.sum","frac.mRNA","dissection","dissection_color","subtype","subtype_color"
"317","p9","fv1_NS_p9c11r6_B07",5364,907388,97705,167005,4201,598043,349280,12,17860,"#3288BD",0.107677200932787,639945678,0.00126341041097566,"CV","#F8766D","Endocardial","#1B9E77"
"318","p9","fv1_NS_p9c11r7_N07",5100,716145,71429,139450,4302,529477,319798,10,11447,"#3288BD",0.0997409742440428,639945678,0.00100631012746955,"CV","#F8766D","Endocardial","#1B9E77"
"319","p9","fv1_NS_p9c11r8_I08",4661,690097,75038,150934,5944,519257,291787,6,13933,"#3288BD",0.108735438641234,639945678,0.000960055069595067,"CV","#F8766D","Mesenchymal.2","#7570B3"
"320","p9","fv1_NS_p9c1r7_D07",4565,698110,76756,129961,4392,501398,333000,7,15465,"#3288BD",0.109948288951598,639945678,0.000969866582103407,"CV","#F8766D","Endocardial","#1B9E77"
"321","p9","fv1_NS_p9c2r5_M05",4627,582064,71664,98537,3270,424109,270435,4,11276,"#3288BD",0.123120481596525,639945678,0.000796828898251389,"CV","#F8766D","Endocardial","#1B9E77"
"322","p9","fv1_NS_p9c2r7_E07",4814,453550,61228,93481,3666,371586,277452,2,7973,"#3288BD",0.134997243964282,639945678,0.000612613348799584,"CV","#F8766D","Endocardial","#1B9E77"
"323","p9","fv1_NS_p9c2r8_A08",4957,630828,85728,126932,4678,399754,301754,3,11260,"#3288BD",0.135897582225266,639945678,0.000850937262513951,"CV","#F8766D","Endocardial","#1B9E77"
"324","p9","fv1_NS_p9c3r1_N22",3934,150207,13638,38332,968,134827,112473,12,3588,"#3288BD",0.090794703309433,639945678,0.000213355901325651,"CV","#F8766D","Mesenchymal.2","#7570B3"
"325","p9","fv1_NS_p9c3r2_J23",5455,183923,16450,41280,1222,137679,88647,13,2406,"#3288BD",0.0894396024423264,639945678,0.000261622599977307,"CV","#F8766D","SVv","#E7298A"
"326","p9","fv1_NS_p9c3r4_B05",4480,213579,25430,43057,1678,152198,158112,1,3990,"#3288BD",0.119066013044354,639945678,0.000293907844415853,"CV","#F8766D","Endocardial","#1B9E77"
